City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
230,santa maria,-29.6842,-53.8069,28.07,52,61,4.41,BR,"01/21/2023,00:03:20"
231,leningradskiy,69.3833,178.4167,-31.52,93,100,5.51,RU,"01/21/2023,00:03:21"
232,bonthe,7.5264,-12.505,25.12,83,95,4.11,SL,"01/21/2023,00:03:22"
233,isla mujeres,21.2311,-86.731,26.76,73,16,4.9,MX,"01/21/2023,00:03:22"
234,yeppoon,-23.1333,150.7333,26.88,67,40,6.21,AU,"01/21/2023,00:03:23"
235,saldanha,-33.0117,17.9442,17.52,89,0,4.28,ZA,"01/21/2023,00:03:23"
236,saint-pierre,-21.3393,55.4781,26.82,83,0,2.57,RE,"01/21/2023,00:03:24"
237,tasiilaq,65.6145,-37.6368,-11.91,90,73,2.17,GL,"01/21/2023,00:03:24"
238,nouakchott,18.0858,-15.9785,16.96,76,0,6.91,MR,"01/21/2023,00:00:20"
239,ust-kuyga,70.0167,135.6,-44.21,100,100,1.83,RU,"01/21/2023,00:03:25"
240,nemuro,43.3236,145.575,-4.41,70,97,11.82,JP,"01/21/2023,00:03:26"
241,berlevag,70.8578,29.0864,3.0,69,100,9.77,NO,"01/21/2023,00:03:26"
242,matara,5.9485,80.5353,22.36,86,87,2.97,LK,"01/21/2023,00:03:27"
243,araouane,18.9048,-3.5265,20.71,16,0,2.5,ML,"01/21/2023,00:03:28"
244,black river,18.0264,-77.8487,23.65,75,39,1.27,JM,"01/21/2023,00:03:28"
245,kurchum,48.5722,83.6542,-23.31,99,83,1.75,KZ,"01/21/2023,00:03:29"
246,kungurtug,50.5994,97.5228,-18.92,100,100,0.71,RU,"01/21/2023,00:03:29"
247,tambun,-6.2641,107.0712,28.05,73,100,1.14,ID,"01/21/2023,00:03:29"
248,roald,62.5833,6.1333,2.51,75,20,4.12,NO,"01/21/2023,00:03:30"
249,hithadhoo,-0.6,73.0833,26.94,70,97,5.72,MV,"01/21/2023,00:03:30"
250,gweta,-20.1833,25.2333,22.73,66,52,4.03,BW,"01/21/2023,00:03:31"
251,port hardy,50.6996,-127.4199,6.47,90,97,7.9,CA,"01/21/2023,00:03:31"
252,walvis bay,-22.9575,14.5053,18.71,86,20,1.33,NA,"01/21/2023,00:03:32"
253,nanortalik,60.1432,-45.2371,-7.58,55,0,13.92,GL,"01/21/2023,00:03:32"
254,bosaso,11.2842,49.1816,23.23,74,13,1.66,SO,"01/21/2023,00:03:33"
255,asau,46.4333,26.4,4.6,92,100,2.13,RO,"01/21/2023,00:03:33"
256,fukuma,33.7667,130.4667,5.16,50,60,0.58,JP,"01/21/2023,00:03:34"
257,wenling,28.3669,121.36,8.43,73,99,3.03,CN,"01/21/2023,00:00:38"
258,egvekinot,66.3167,-179.1667,-30.6,99,100,0.62,RU,"01/21/2023,00:03:34"
259,provideniya,64.3833,-173.3,-28.99,88,10,2.23,RU,"01/21/2023,00:03:35"
260,aniva,46.7144,142.5294,-17.72,82,36,6.41,RU,"01/21/2023,00:03:35"
261,ancud,-41.8697,-73.8203,15.39,89,89,2.88,CL,"01/21/2023,00:03:36"
262,lavrentiya,65.5833,-171.0,-32.43,93,34,3.04,RU,"01/21/2023,00:03:36"
263,dalvik,65.9702,-18.5286,5.48,89,100,5.77,IS,"01/21/2023,00:03:36"
264,monrovia,6.3005,-10.7969,25.71,87,66,3.38,LR,"01/21/2023,00:03:36"
265,new norfolk,-42.7826,147.0587,23.17,51,68,0.89,AU,"01/21/2023,00:03:37"
266,talara,-4.5772,-81.2719,22.11,82,56,5.47,PE,"01/21/2023,00:03:38"
267,rodeo,38.033,-122.2669,14.02,43,0,3.6,US,"01/21/2023,00:04:38"
268,polis,35.0367,32.4264,10.9,78,0,1.64,CY,"01/21/2023,00:04:39"
269,peleduy,59.6289,112.7406,-45.07,98,62,1.36,RU,"01/21/2023,00:04:39"
270,san miguel,13.4833,-88.1833,28.15,50,15,2.1,SV,"01/21/2023,00:04:40"
271,grindavik,63.8424,-22.4338,4.26,100,100,8.23,IS,"01/21/2023,00:04:40"
272,batagay,67.6333,134.6333,-46.84,98,74,0.95,RU,"01/21/2023,00:04:41"
273,hami,42.8,93.45,-9.19,47,82,1.1,CN,"01/21/2023,00:04:42"
274,zhuhai,22.2769,113.5678,16.88,88,40,3.09,CN,"01/21/2023,00:04:42"
275,bereda,43.2686,-7.5406,12.3,100,100,1.6,ES,"01/21/2023,00:04:43"
276,dunedin,-45.8742,170.5036,16.0,53,30,1.79,NZ,"01/21/2023,00:00:47"
277,iralaya,15.0,-83.2333,24.48,80,2,4.48,HN,"01/21/2023,00:04:43"
278,cabo san lucas,22.8909,-109.9124,23.62,58,0,4.63,MX,"01/21/2023,00:04:44"
279,laguna,38.421,-121.4238,13.16,42,0,3.6,US,"01/21/2023,00:04:44"
